-297069493,Apache Tomcat
-1379982221,Atlassian Bamboo
667017222,Atlassian Bitbucket
-305179312,Atlassian Confluence
1369277006,Atlassian Crucible
-1665357670,Atlassian Fisheye
705143395,Atlassian Jira Service Management
628535358,Atlassian Jira Software Management
-1806014473,Atlassian Statuspage
-299287097,Cisco Web UI
-1166125415,Citrix Netscaler Gateway
-82958153,ConnectWise ScreenConnect
1611729805,Elastic Elasticsearch
-335242539,F5 BIG‑IP
945408572,Fortinet FortiGate
467483715,Fortinet FortiADC & FortiExtender
1265477436,GitLab CE/EE
2123863676,Grafana
905744673,HP Printer Embedded Web Server
-1912808902,IBM Security QRadar SOAR
-600183134,IBM Guardium
1726027799,IBM HTTP Server
1725856879,Imperva Data Security Fabric
-1439222863,Ivanti Connect Secure
81586312,Jenkins
-1944119648,JetBrains TeamCity
-1269979934,Mastodon Instance
1768726119,Microsoft Outlook Web App
396533629,OpenVPN Access Server
-524723557,Palo Alto Networks Cortex XSOAR
873381299,Palo Alto Networks Firewall
-631559155,Palo Alto Networks GlobalProtect Portal
-1142586156,PaperCut MF
989289239,Progress MOVEit
213144638,Proxmox Virtual Environment
-266008933,SAP NetWeaver
1701804003,ServiceNow Service Portal
631108382,SonicWall Firewall
1601194732,Sophos Products
-1441956789,Tableau Server
45180380,VMware ESXi
1521142546,VMware Horizon
892542951,Zabbix
1624375939,Zimbra Web Client Email
1205970462,Zyxel Web Server Configurator
970132176,3CX Phone System Management Console
-1639835336,Portainer
-614457039,Plesk Obsidian
